filename,subject_id,attr_eye_height_ratio,attr_eye_width_ratio,attr_eye_aspect_ratio,attr_eye_tilt_deg,attr_eye_spacing_ratio,attr_eye_asymmetry,attr_iris_vertical_pos,attr_brow_length_ratio,attr_brow_thickness_ratio,attr_brow_tilt_deg,attr_brow_curvature,attr_brow_gap_ratio,attr_brow_eye_gap,attr_nose_length_ratio,attr_nose_width_ratio,attr_nose_bridge_depth,attr_nose_aspect,attr_nose_tip_angle,attr_mouth_width_ratio,attr_lip_thickness_ratio,attr_lip_ratio,attr_mouth_corner_angle,attr_forehead_height_ratio,attr_forehead_width_ratio,attr_chin_length_ratio,attr_jaw_width_ratio,attr_chin_angle_deg,attr_face_ratio,attr_upper_lower_ratio,attr_philtrum_length_ratio,attr_cheekbone_width_ratio,attr_cheekbone_protrusion,attr_cheekbone_position,eye_type,eyebrow_type,nose_type,mouth_type,forehead_type,chin_type,face_shape,philtrum_type,cheekbone_type
F0029_01_1_M.png,F0029,중,중,보통,수평,보통,대칭,정상,단,보통,수평,아치형,보통,보통,중,보통,보통,균형,보통,중,얇음,아랫입술우세,수평,보통,좁음,긴,보통,둥근,보통,균형,보통,보통,보통,낮음,도화안,초승달눈썹,보통코,일자입,좁은이마,둥근턱,계란형,보통인중,낮은광대
F0030_01_1_M.png,F0030,대,장,둥근형,처진눈,좁음,대칭,상삼백,장,가늘,상승형,직선,보통,넓음,단,좁음,보통,길쭉,매부리,소,두꺼움,아랫입술우세,처진입,보통,넓음,짧음,좁음,보통,길쭉,균형,긴,넓음,보통,높음,삼백안,보통눈썹,단코,받침입,보통이마,짧은턱,계란형,긴인중,보통광대
F0031_01_1_M.png,F0031,중,중,보통,수평,보통,대칭,정상,단,보통,수평,아치형,보통,보통,단,보통,높음,넓적,보통,중,두꺼움,아랫입술우세,수평,좁음,좁음,보통,보통,뾰족,보통,균형,보통,보통,평탄,보통,도화안,초승달눈썹,단코,받침입,좁은이마,보통턱,보통형,보통인중,평평한광대
F0032_01_1_M.png,F0032,소,중,세장형,수평,보통,대칭,정상,단,보통,수평,완만,보통,좁음,단,보통,보통,넓적,보통,중,보통,아랫입술우세,수평,보통,좁음,긴,넓음,뾰족,보통,균형,긴,넓음,보통,보통,보통눈,초승달눈썹,단코,일자입,좁은이마,각턱,각진형,긴인중,보통광대
F0033_01_1_M.png,F0033,중,중,보통,수평,넓음,비대칭,상삼백,장,굵은,하강형,직선,넓음,좁음,중,넓음,높음,넓적,들창코,소,얇음,아랫입술우세,처진입,넓음,넓음,긴,보통,둥근,넓적,균형,긴,보통,평탄,보통,음양안,농미,복코,다문입,넓은이마,둥근턱,둥근형,긴인중,평평한광대
F0034_01_1_M.png,F0034,중,중,보통,처진눈,넓음,대칭,상삼백,단,보통,상승형,아치형,보통,넓음,중,넓음,낮음,넓적,매부리,대,두꺼움,아랫입술우세,처진입,보통,보통,짧음,보통,보통,보통,균형,긴,보통,평탄,높음,삼백안,초승달눈썹,주먹코,받침입,보통이마,짧은턱,계란형,긴인중,평평한광대
F0035_01_1_M.png,F0035,소,중,세장형,수평,보통,대칭,정상,단,굵은,수평,완만,보통,보통,단,보통,보통,넓적,보통,대,보통,아랫입술우세,수평,보통,보통,보통,보통,보통,보통,균형,보통,보통,평탄,낮음,보통눈,단미,단코,보통입,보통이마,보통턱,계란형,보통인중,평평한광대
F0036_01_1_M.png,F0036,대,장,둥근형,처진눈,좁음,비대칭,하삼백,장,굵은,상승형,완만,보통,넓음,단,좁음,낮음,넓적,매부리,소,두꺼움,아랫입술우세,처진입,넓음,넓음,짧음,좁음,둥근,보통,균형,긴,넓음,보통,높음,음양안,농미,단코,받침입,넓은이마,둥근턱,계란형,긴인중,보통광대
F0037_01_1_M.png,F0037,중,장,보통,처진눈,좁음,대칭,상삼백,중,가늘,상승형,아치형,넓음,넓음,단,넓음,보통,넓적,들창코,대,두꺼움,아랫입술우세,처진입,보통,넓음,짧음,넓음,뾰족,길쭉,균형,짧음,넓음,평탄,높음,삼백안,초승달눈썹,들창코,받침입,보통이마,짧은턱,긴형,짧은인중,평평한광대
F0038_01_1_M.png,F0038,대,장,둥근형,처진눈,좁음,대칭,정상,중,가늘,상승형,완만,보통,넓음,단,좁음,높음,균형,들창코,소,두꺼움,아랫입술우세,수평,좁음,보통,짧음,넓음,뾰족,길쭉,균형,짧음,넓음,평탄,높음,도화안,초승달눈썹,들창코,받침입,좁은이마,짧은턱,긴형,짧은인중,평평한광대
